ID;Nombre;Pr;Vehicle Type;Motor;Engine Index;Engine Type;Gearbox Type
287;R25;1169;B29W;J8S738;J8S738;J8S;NG3
288;R21;1170;L481;F2N712;F2N712;F2N;JB2
289;R21;1170;L481;F2N712;F2N712;F2N;JB3
290;R21;1170;L481;F2N716;F2N716;F2N;JB3
291;R21;1170;L481;F2N716;F2N716;F2N;JB2
292;R21;1170;L482;F2N710;F2N710;F2N;JB3
293;R21;1170;L482;F2N710;F2N710;F2N;JB2
294;R21;1170;L482;F2N711;F2N711;F2N;MB3
295;R21;1170;L482;F2N711;F2N711;F2N;AD4
296;R21;1170;L482;F2N754;F2N754;F2N;JB3
297;R21;1170;L482;F2N754;F2N754;F2N;JB2
298;R21;1170;L482;F2N783;F2N783;F2N;MB3
299;R21;1170;L484;F2N758;F2N758;F2N;JB3
300;R21;1170;L484;F2N786;F2N786;F2N;JB3
301;R21;1170;L48D;C2J770;C2J770;C2J;JB1
302;R21;1170;L48E;F2N722;F2N722;F2N;JB3
303;R21;1170;L48E;F3N722;F3N722;F3N;JB3
304;R21;1170;L48E;F3N723;F3N723;F3N;AD4
305;R21;1170;L48F;F3N726;F3N726;F3N;JB3
306;R21;1170;L48H;F8Q710;F8Q710;F8Q;JB3
307;R21;1170;L48I;F8Q710;F8Q710;F8Q;JB3
308;R21;1170;L48J;F2R702;F2R702;F2R;JB3
309;R21;1170;L48M;F2N750;F2N750;F2N;JB3
310;R21;1170;L48M;F2N750;F2N750;F2N;JB2
311;R21;1170;L48N;F2N752;F2N752;F2N;JB3
312;R21;1170;L48U;C2L714;C2L714;C2L;JB3
313;R21;1170;L48U;C2L717;C2L717;C2L;MB3
314;R21;1172;L480;J8S784;J8S784;J8S;NG9
315;R21;1172;L483;J7R750;J7R750;J7R;NG9
316;R21;1172;L483;J7R751;J7R751;J7R;AR4
317;R21;1172;L483;J7R751;J7R751;J7R;MJ3
318;R21;1172;L485;J7R752;J7R752;J7R;UN1
319;R21;1172;L485;J7R752;J7R752;J7R;UN7
320;R21;1172;L486;J8S704;J8S704;J8S;NG9
321;R21;1172;L487;J8S786;J8S786;J8S;NG9
322;R21;1172;L488;J8S714;J8S714;J8S;NG9
323;R21;1172;L488;J8S742;J8S742;J8S;NG9
324;R21;1172;L489;J6R758;J6R758;J6R;NG9
325;R21;1172;L489;J6R759;J6R759;J6R;MJ3
326;R21;1172;L489;J6R792;J6R792;J6R;NG9
327;R21;1172;L489;J6R793;J6R793;J6R;MJ3
328;R21;1172;L489;J6R793;J6R793;J6R;NG9
329;R21;1172;L48A;J8S604;J8S604;J8S;NG9
330;R21;1172;L48C;J7R746;J7R746;J7R;NG9
331;R21;1172;L48C;J7R747;J7R747;J7R;AR4
332;R21;1172;L48K;J7T754;J7T754;J7T;NG9
333;R21;1172;L48K;J7T754;J7T754;J7T;UN7
334;R21;1172;L48K;J7T755;J7T755;J7T;MJ3
335;R21;1172;L48K;J7T755;J7T755;J7T;AR4
336;R21;1172;L48L;J7R756;J7R756;J7R;UN7
337;R21;1172;L48L;J7R756;J7R756;J7R;UN1
338;R21;1172;L48O;J8S600;J8S600;J8S;NG9
339;R21;1172;L48P;J8S788;J8S788;J8S;NG9
340;R21;1172;L48Q;J7R754;J7R754;J7R;NG9
341;R21;1172;L48R;J7R740;J7R740;J7R;NG9
342;R21;1172;L48S;J6T790;J6T790;J6T;NG9
343;R21;1172;L48S;J6T791;J6T791;J6T;MJ3
344;R21;1172;L48V;J8S740;J8S740;J8S;NG9
345;R21;1172;L48W;J8S746;J8S746;J8S;NG9
346;R21;1172;L48Y;J7R754;J7R754;J7R;NG9
347;R21;1172;L48Y;J7R754;J7R754;J7R;UN7
348;R21;1173;B481;F2N712;F2N712;F2N;JB2
349;R21;1173;B481;F2N712;F2N712;F2N;JB3
350;R21;1173;B481;F2N716;F2N716;F2N;JB3
