ID;NPRO;DPRO;TVEH;ZDOC;REEM;CPRO;CORT;UBIC;STOC;PCUR;PEND;DIFE;FUEN;FUSA;BPCL;BPNC;PDUM;PDUA;FAM1;FAMI;NPRV;CADU
3926;7700808334;SOPORTE CONDENSAD.B5;B5;;7700415415;NV1;1111;34-0102;1;0;0;0;1998-10-31;1998-03-02;14306;9298.9;5007.1;1053.48;0.65;553;11;688
3927;7700808347;SOPORTE RADIADOR  19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;2919;1897.35;1021.65;0;0.65;109;11;247
3928;7700808349;SOPORTE RADIADOR  19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;2919;1897.35;1021.65;0;0.65;109;11;247
3929;7700808392;GUAYA CUENTA KMS  19;19;;;SS8;1121;21-0604;2;0;0;0;1998-04-21;1998-07-08;60329;36197.4;24131.6;6820;0.6;874;11;235
3930;7700808485;SOPORTE           B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;50458;32797.7;17660.3;0;0.65;55;11;
3931;7700808517;ESPEJO RETROVIS. F/4;F4;;;;1111;10-0402;1;0;0;0;1980-01-01;1980-01-01;67254;43715.1;23538.9;6108.17;0.65;901;11;220
3932;7700808518;RETROVISOR DER.   F4;F4;;;;1111;;2;0;0;0;1998-09-24;1998-09-28;76213;49538.45;26674.55;6670.46;0.65;901;11;220
3933;7700808647;ALTERNADOR        21;21;;;;1131;27-0503;1;0;0;0;1999-04-27;1997-11-29;293812;235049.6;58762.4;36973.59;0.8;611;11;
3934;7700808814;COLEC.SOP.BANDEJA BB;BB;;;;1111;7-0105;3;0;0;0;1998-04-03;1998-08-20;1245;809.25;435.75;61.38;0.65;;11;
3935;7700808828;BRAZO TRASERO IZQUIERDO.SF;SF;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;144892;94179.8;50712.2;0;0.65;131;11;685
3936;7700808830;GUAYA BANDEJA TRA.B5;B5;;;;1111;1-0906;1;0;0;0;1998-10-06;1998-08-20;6680;4342;2338;1372.57;0.65;997;11;238
3937;7700808836;TAPA FRASCO EXP   TW;TW;;7700805031;;1111;;0;0;0;0;1980-01-01;1980-01-01;13838;8994.7;4843.3;0;0.65;910;11;
3938;7700808861;BOMBA GAS ELEC CD/4H;4H;;;;1021;43-0103;3;0;0;0;1998-08-03;1998-09-24;111024;66614.4;44409.6;10924.52;0.6;505;11;376
3939;7700808862;MANGUER.DESH.EVAP.B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;884;11;148
3940;7700808956;MANGUER.COND DESH.B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;41732;27125.8;14606.2;0;0.65;884;11;148
3941;7700808959;MANGUER.COMP.EVAP.B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;884;11;148
3942;7700809036;TABLERO INSTRUM   B5;B5;;;;1131;;3;0;0;0;1998-09-10;1998-09-10;188311;150648.8;37662.2;46233.16;0.8;694;11;
3943;7700809253;BANDEJA TRASERA   21;21;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;454379;295346.35;159032.65;0;0.65;336;11;169
3944;7700809568;MOTOR SOPLAD.PERC.B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;138878;90270.7;48607.3;0;0.65;692;11;688
3945;7700809716;TIRANTE MOTOR     19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;11681;7592.65;4088.35;0;0.65;141;11;685
3946;7700809907;VALVULA TEMPER.  C6;C6;;;;1111;3-0205;3;0;0;0;1998-06-08;1998-03-11;16894;10981.1;5912.9;1682.7;0.65;625;11;
3947;7700809949;BARRA TORSION     B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;108325;70411.25;37913.75;0;0.65;130;11;
3948;7700809950;BARRA TORCION     B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;108325;70411.25;37913.75;0;0.65;130;11;
3949;7700809958;GANCHO SOPORTE    TW;TW;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;2486;1615.9;870.1;0;0.65;993;11;
3950;7700809959;GANCHO SOPORTE    TW;TW;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;2888;1877.2;1010.8;0;0.65;994;11;
3951;7700809960;RELOJ TABLERO     BB;BB;;;;1111;4-0404;1;0;0;0;1998-03-03;1998-08-28;104268;67774.2;36493.8;12639.94;0.65;478;11;796
3952;7700809961;GUAYA EMBRAGUE B5/BB;BB;;;;1521;63-0203;18;0;0;0;1998-07-07;1998-10-20;22358;13414.8;8943.2;2413.98;0.6;825;11;232
3953;7700810293;CERROJO MALETA    21;21;;;NV2;1111;12-0806;4;0;0;0;1980-01-01;1980-01-01;648;421.2;226.8;73.61;0.65;316;11;319
3954;7700810369;BARRA TRASERA     B5;B5;;;;1111;;1;0;0;0;1997-04-02;1997-04-02;110145;71594.25;38550.75;0;0.65;128;11;685
3955;7700810394;TANQUE GASOLINA   F4;F4;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;299091;194409.15;104681.85;0;0.65;487;11;
3956;7700810395;RELE MOTOR VENT.  19;19;;;NV1;1011;8-0606;2;0;0;0;1998-08-03;1998-08-26;16900;10985;5915;1906.54;0.65;648;11;568
